"Product","BoM Lines/Component","BoM Lines/Quantity"
"[C401] 6x6 BAG 1: BEAMS 1","[J502] 2-BEAM","4.0"
"","[J305] 15-BEAM","8.0"
"","[J402] 7-BEAM","6.0"
"","[J303] 13-BEAM","10.0"
"","[J301] 11-BEAM","12.0"
"","[J405] 10-BEAM","4.0"
"","[J403] 8-BEAM","4.0"
"[C801] ARDUINO ROBOT BAG 1: BEAMS","[J503] 3-BEAM","4.0"
"","[J504] 4-BEAM","3.0"
"","[J505] 5-BEAM","10.0"
"","[J401] 6-BEAM","6.0"
"","[J402] 7-BEAM","3.0"
"","[J403] 8-BEAM","2.0"
"","[J404] 9-BEAM","3.0"
"","[J405] 10-BEAM","2.0"
"","[J301] 11-BEAM","4.0"
"","[J302] 12-BEAM","4.0"
"","[J303] 13-BEAM","2.0"
"","[J305] 15-BEAM","10.0"
"[C701] 250 PIECE BAG 1: BEAMS","[J502] 2-BEAM","4.0"
"","[J503] 3-BEAM","4.0"
"","[J504] 4-BEAM","4.0"
"","[J505] 5-BEAM","4.0"
"","[J401] 6-BEAM","4.0"
"","[J402] 7-BEAM","4.0"
"","[J403] 8-BEAM","4.0"
"","[J404] 9-BEAM","4.0"
"","[J405] 10-BEAM","4.0"
"","[J301] 11-BEAM","4.0"
"","[J302] 12-BEAM","2.0"
"","[J303] 13-BEAM","2.0"
"","[J304] 14-BEAM","2.0"
"","[J305] 15-BEAM","2.0"
"","[i503] SUPPORT ARM","2.0"
"[A802] UGV UPGRADE BAG 1: BEAMS","[i305] 11-45 BEAM","1.0"
"","[i401] 2-45 BEAM","5.0"
"","[J305] 15-BEAM","1.0"
"","[J303] 13-BEAM","1.0"
"","[J404] 9-BEAM","2.0"
"","[J403] 8-BEAM","2.0"
"","[J402] 7-BEAM","1.0"
"","[J401] 6-BEAM","4.0"
"","[J505] 5-BEAM","3.0"
"","[J504] 4-BEAM","7.0"
"","[J503] 3-BEAM","4.0"
"","[J501] TRANSITION","19.0"
