"Product","BoM Lines/Component","BoM Lines/Quantity"
"","[i701] 1-DRIVELINE FEMALE ASSEMBLY","3.0"
"","[G408] U-JOINT SET SCREW","7.0"
"","[G406] 3/16"" BALL STUD","7.0"
"","[G606] #4-40 3/8"" SCREW","5.0"
"","[F306] HVY DUTY ROD ENDS BLACK/12","2.0"
"","[G404] #4-40 x 1"" THREAD ROD","1.0"
"","[F305] BALL CUPS 13mm","4.0"
"","[G405] #4-40 x 3/4"" THREAD ROD","2.0"
"","[i504] DRIVELINE YOKE","2.0"
"[MCK-ECLB-2WD] ELECTRIC CAR LAB","[L202] CORRUGATED BOXES 18x12x10""","1.0"
"","STORAGE BIN","1.0"
"","[C10x] 3 Channel Radio","1.0"
"","[A506] LIPO / NIMH CHARGER","1.0"
"","[D201] FUNCTION DIGITAL MULTIMETER","1.0"
"","[E501] COSMETIC PANELS","1.0"
"","[C205] BUILD A MOTOR","1.0"
"","[B305] RACE CAR WHEELS AND TIRES","1.0"
"","[C501] ELECTRIC CAR BAG 1: BEAMS","1.0"
"","[C502] ELECTRIC CAR BAG 2: 45-BEAMS AND TRANSITIONS","1.0"
"","[C503] ELECTRIC CAR BAG 3: CONNECTORS","1.0"
"","[C504] ELECTRIC CAR BAG 4: STEERING AND DRIVELINES","1.0"
"","[A505] TAMIYA CHARGER ADAPTER","1.0"
"","[A701] MOTOR GEARBOX","1.0"
"","[A702] DIFFERENTIAL W/ SPOOL","1.0"
"","[A705] 4mm AXLE REAR HUB","1.0"
"","[A704] 4mm AXLE STEERING HUB","1.0"
"","[A502] 17-58 Gear Set","1.0"
"","23,500 RPM MOTOR WITH WIRE","1.0"
"","[A401] HS-485HB SERVO (With Hardware)","1.0"
"","[A302] 4x4 TOOLS AND FASTENERS","1.0"
"","[A504] 320A BRUSHED ESC","1.0"
"","[B405] NIMH BATTERY","1.0"
"","[E305] ELECTRIC CAR INSTRUCTIONS","1.0"
"[A502] 17-58 Gear Set","[F302] 17 TOOTH PINION GEAR","1.0"
"","[F301] 58 TOOTH SPUR GEAR","1.0"
"","[F303] PINION SET SCREW","1.0"
"23,500 RPM MOTOR WITH WIRE","[L103] 7.2V 23,500 RPM DC MOTOR","1.0"
"","23,500 RPM MOTOR LABEL","1.0"
"","[F505] MOTOR WIRES","1.0"
"[PTT-ARD2-001] ARDUINO ROBOT","[C801] ARDUINO ROBOT BAG 1: BEAMS","1.0"
"","[C802] ARDUINO ROBOT BAG 2: TRANSITIONS","1.0"
"","[C803] ARDUINO ROBOT BAG 3: SCREWS","1.0"
"","[C804] ARDUINO ROBOT BAG 4: CONNECTORS","1.0"
"","[C805] ARDUINO ROBOT BAG 5: ELECTRONICS","1.0"
"","[A303] ARDUINO ROBOT TOOLS","1.0"
"","[A402] CONTINUOUS ROTATION ROBOTIC SERVO (With Hardware)","2.0"
"","[B405] NIMH BATTERY","1.0"
"","[A506] LIPO / NIMH CHARGER","1.0"
"","[A505] TAMIYA CHARGER ADAPTER","1.0"
"","[E101] ARDUINO ROBOT INSTRUCTIONS","1.0"
"","[E406] ARDUINO USER GUIDE INSTRUCTIONS","1.0"
"","[F604] USB DRIVE","1.0"
"","BAG 12""x20"" 1.5MIL","1.0"
"[C802] ARDUINO ROBOT BAG 2: TRANSITIONS","[i502] INTERFERENCE THREAD ADAPTER","7.0"
"","[i501] CLEARANCE THREAD ADAPTER","39.0"
"","[i401] 2-45 BEAM","1.0"
"","[i402] 3-45 BEAM","4.0"
"","[J501] TRANSITION","14.0"
"","[i505] SERVO MOUNT","4.0"
"","[i503] SUPPORT ARM","2.0"
"","[J703] BATTERY CAP","2.0"
"[C803] ARDUINO ROBOT BAG 3: SCREWS","[F309] 3"" SERVO WHEEL","2.0"
"","[F508] 2.0"" THREAD COLLAR","2.0"
"","[F806] BLACK SILICONE CAP","6.0"
"","[G503] #4-40 1/4"" NUT","4.0"
"","[G507] #4 WASHER","18.0"
"","[G606] #4-40 3/8"" SCREW","8.0"
"","[G605] #4-40 1/2"" SCREW","8.0"
"","[G603] #4-40 3/4"" SCREW","5.0"
"","[G602] #4-40 1"" SCREW","4.0"
"","[G601] #4-40 1-3/8"" SCREW","4.0"
