Order Reference,Creation Date,Customer,Total,Order Lines/Product,Order Lines/Quantity,Order Lines/Delivered Quantity,Order Lines/Unit Price,Enter,Deliv
,,,,Shipping,1,0,156.96,0,0
,,,,,0,0,0,0,0
,,,,,0,0,0,0,0
S00059,3/30/2022 11:43,Glendale high school,3000,[MCK-FDLB-6X6] FOUNDATIONS LAB 6x6 (90 Hour),1,0,3000,1,0
S00058,3/28/2022 11:53,Beth Tfiloh High School,12795,[MCK-UALB-MR2] UAV DRONE LAB,3,0,3100,1,0
,,,,[MIC-SUL-100] WEB BASED CURRIULUM ANNUAL SUBSCRIPTION FOR ONE PRODUCT,1,0,995,0,0
,,,,[MCK-DRGY-001] UAV DRONE GIMBAL RIG,1,0,2500,0,0
S00056,3/15/2022 10:12,LAB Midwest,4499.19,[MCK-ECLB-2WD] ELECTRIC CAR LAB,6,6,625,1,1
,,,,[MCK-ECSL-045] ELECTRIC CAR CURRICULUM (Digital),1,1,596.25,0,0
,,,,Shipping,6,0,25.49,0,0
,,,,,0,0,0,0,0
S00055,3/15/2022 10:10,Technical Training Aids,2400,[MCK-DRGY-001] UAV DRONE GIMBAL RIG,2,0,1200,1,0
S00054,3/15/2022 9:50,"Marshall County Material Center, Trent Powell",170060,[MCK-DRGY-001] UAV DRONE GIMBAL RIG,8,0,2500,1,0
,,,,[MCK-ECLB-2WD] ELECTRIC CAR LAB,20,0,625,0,0
,,,,[MCK-FDLB-6X6] FOUNDATIONS LAB 6x6 (90 Hour),20,0,3000,0,0
,,,,[MCK-FDTR-001] FOUNDATIONS TEACHERS' RESOURCE,4,0,1100,0,0
,,,,[MCK-UALB-MR2] UAV DRONE LAB,20,0,3100,0,0
,,,,[MIC-MUL-100] WEB BASED CURRICULUM ANNUAL SUBSCRIPTION FOR THREE OR MORE PRODUCTS,8,0,1395,0,0
S00051,2/9/2022 13:09,"Cosby High School, Ligon, John",24214.84,[MCK-UALB-MR2] UAV DRONE LAB,10,10,2100,1,1
,,,,[CPK-UAM2-001] COMPETITION KIT UAV,2,2,840,0,0
,,,,[MCK-UASL-045] DRONE CURRICULUM 45,1,1,556,0,0
,,,,[CPK-FLDE-001] PVC FIELD ELEMENTS,1,1,419.3,0,0
,,,,Shipping,1,0,559.54,0,0
,,,,,0,0,0,0,0
S00050,2/9/2022 13:01,"Matoaca high school, Troy Guerra",24305.93,[MCK-UALB-MR2] UAV DRONE LAB,10,10,2100,1,1
,,,,[CPK-UAM2-001] COMPETITION KIT UAV,2,2,840,0,0
,,,,[MCK-UASL-045] DRONE CURRICULUM 45,1,1,556.5,0,0
,,,,[CPK-FLDE-001] PVC FIELD ELEMENTS,1,1,419.3,0,0
,,,,Shipping,1,0,650.13,0,0
,,,,,0,0,0,0,0
S00049,2/4/2022 12:18,"Naselle Grays-River Valley SD, GREG NELSON",10706.5,[MCK-DRGY-001] UAV DRONE GIMBAL RIG,1,0,1750,1,0
,,,,[MCK-UALB-MR2] UAV DRONE LAB,4,0,2100,0,0
,,,,[MCK-UASL-045] DRONE CURRICULUM 45,1,0,556.5,0,0
S00048,2/2/2022 14:21,"Buena Park High School, Maroun Nehme",1021.09,[B404] LIPO BATTERY,42,42,24,1,1
,,,,,0,0,0,0,0
,,,,Shipping,1,0,13.09,0,0
,,,,,0,0,0,0,0
S00047,2/2/2022 14:11,"Vista Del Lago High School, David Susuras",8036,COMPETITION KIT 4x4,8,0,1004.5,1,0
S00046,2/2/2022 13:37,"River High School, Mark Romick",33999,[MCK-UALB-MR2] UAV DRONE LAB,3,0,2100,1,0
,,,,[CPK-UAM2-001] COMPETITION KIT UAV,18,0,840,0,0
,,,,[MCK-DRGY-001] UAV DRONE GIMBAL RIG,3,0,1750,0,0
,,,,[CPK-DRCG-PVC] PVC CAGE,3,0,1746.5,0,0
,,,,[MIC-MUL-100] WEB BASED CURRICULUM ANNUAL SUBSCRIPTION FOR THREE OR MORE PRODUCTS,3,0,696.5,0,0
S00045,2/2/2022 11:33,"Wyoming County Career & Technical Center, Richard Morgan",1355.37,[CPK-UAM2-001] COMPETITION KIT UAV,1,0,840,1,1
,,,,[CPK-FLDE-001] PVC FIELD ELEMENTS,1,1,419.3,0,0
,,,,Shipping,1,0,28.95,0,0
,,,,Shipping,1,0,67.12,0,0
,,,,,0,0,0,0,0
,,,,,0,0,0,0,0
S00044,2/2/2022 11:02,"Carrol University, Mike Mortensen",5000,[CPK-UAM2-001] COMPETITION KIT UAV,12,12,400,1,0
,,,,CAGE RENTAL,1,0,200,0,0
,,,,,0,0,0,0,0
,,,,Shipping,0,0,1,0,0
,,,,Tracking,0,0,1,0,0
S00033,11/19/2021 14:31,Orange Vista High School,13125,[CPK-DRCG-003] LARGE DRONE CAGE SYSTEM,1,1,13125,1,0
S00043,1/7/2022 11:56,"North Idaho Stem Charter Academy, Scott Thompson",10,4x4,4,0,1,1,0
,,,,SERVO LINKAGE KIT,4,0,1,0,0
,,,,Four Wheel Steering Upgrade Module for 4x4 Robot Kits,2,0,1,0,0
S00042,1/5/2022 13:45,"School District of Augusta, Ryan Nelson",13528.2,[MCK-FDTR-001] FOUNDATIONS TEACHERS' RESOURCE,1,0,759.5,1,1
,,,,[PTT-ARD2-001] ARDUINO ROBOT,4,0,279.3,0,0
,,,,[MCK-DRGY-001] UAV DRONE GIMBAL RIG,1,0,1750,0,0
,,,,[MCK-1YLB-MR2] ONE YEAR LAB,2,0,4672.5,0,0
