"ID","Name","Internal Reference","Responsible","Sales Price","Cost","Quantity On Hand","Forecasted Quantity","Unit of Measure","Activity Exception Decoration"
"__export__.product_template_25_5e72abe5","2205 MOTOR MOUNT","i604","Tim Lines","1.0","0.34","2636.0","2344.0","Units",""
"__export__.product_template_612_f530e584","22KZ24 (0.190"" OD Black)","","MINDS-i","0.5","0.05","0.0","0.0","in",""
"__export__.product_template_613_a9cafcb2","22KZ27 (0.190 OD Red","","MINDS-i","0.5","0.05","0.0","0.0","in",""
"__export__.product_template_394_cc5092c4","23,500 RPM MOTOR LABEL","","Tim Lines","1.0","0.0","173.0","173.0","Units",""
"__export__.product_template_215_058641c4","23,500 RPM MOTOR WITH WIRE","","Tim Lines","1.0","3.2","20.0","1.0","Units",""
"__export__.product_template_212_9d2168ca","23-T PINION","","Tim Lines","1.0","0.0","0.0","0.0","Units",""
"__export__.product_template_219_9b6c10b9","24"" x 48"" BLACK ABS SHEET","","Tim Lines","1.0","0.0","0.0","0.0","Units",""
"__export__.product_template_372_2e76abb1","250 PIECE","A501","Tim Lines","176.0","35.1","9.0","9.0","Units",""
"__export__.product_template_488_f38583be","250 PIECE BAG 1: BEAMS","C701","MINDS-i","1.0","21.25","19.0","14.0","Units",""
"__export__.product_template_490_45cb818d","250 PIECE BAG 2: 45 BEAMS AND TRANSITIONS","C702","MINDS-i","1.0","0.0","1.0","16.0","Units",""
"__export__.product_template_492_05a0327c","250 PIECE BAG 3: CONNECTORS","C703","MINDS-i","1.0","0.0","32.0","2.0","Units",""
"__export__.product_template_627_bc170157","2XL Minds-i Shirt","","MINDS-i","1.0","0.0","0.0","0.0","Units",""
"__export__.product_template_183_fd294c15","2mm  GOLD CONNECTORS","","Tim Lines","0.09","0.09","2200.0","1588.0","Units",""
"__export__.product_template_495_11d7fb06","3 AXIS GIMBAL RIG FRAME","","MINDS-i","1.0","0.0","0.0","0.0","Units",""
"__export__.product_template_181_ec481931","3 Channel Radio","C10x","Tim Lines","55.0","2.16","2.0","-26.0","Units",""
"__export__.product_template_294_a0da090f","3 PIN CABLE FLAT - LATCHED","B603","Tim Lines","1.0","0.0","1822.0","1463.0","Units",""
"__export__.product_template_295_15b14e53","3 PIN CABLE FLAT - SEPERATE","B605","Tim Lines","1.0","0.0","751.0","513.0","Units",""
"__export__.product_template_451_35c93cba","3"" DISK","F309","Chris Lines","1.0","0.0","71.0","-3.0","Units",""
"__export__.product_template_452_cd084124","3"" DISK RUBBER TIRE","F309","Chris Lines","1.0","0.0","200.0","126.0","Units",""
"__export__.product_template_134_de77d27e","3"" DUCT","","Tim Lines","1.0","0.64","0.0","0.0","Units",""
"__export__.product_template_276_b4b18070","3"" SERVO WHEEL","F309","Tim Lines","1.0","0.0","8.0","82.0","Units",""
"__export__.product_template_60_26ece7a6","3' USB CABLE","F605","Tim Lines","1.0","0.0","228.0","63.0","Units","Alert"
"__export__.product_template_93_7ae6ab9d","3-45 BEAM","i402","Tim Lines","1.15","0.23","155.0","-318.0","Units",""
"__export__.product_template_2_87fac896","3-BEAM","J503","Tim Lines","1.15","0.23","1861.0","1415.0","Units",""
"__export__.product_template_538_0367c167","3-DRIVELINE FEMALE","","MINDS-i","0.9","0.18","0.0","-56.0","Units",""
"__export__.product_template_529_f161a93f","3-DRIVELINE FEMALE ASSEMBLY","","MINDS-i","8.0","1.55","-1.0","62.0","Units",""
"__export__.product_template_539_2afeaa2b","3-DRIVELINE MALE","","MINDS-i","0.18","0.18","0.0","-54.0","Units",""
"__export__.product_template_323_7c23ccc0","3-DRIVELINE MALE ASSEMBLY","","Tim Lines","8.0","1.55","-11.0","56.0","Units",""
"__export__.product_template_583_b16f77b7","3-Elbow","","MINDS-i","1.0","0.0","0.0","0.0","Units",""
"__export__.product_template_17_89ecd57b","3-LOCK","H504","Tim Lines","0.7","0.14","12612.0","12375.0","Units",""
"__export__.product_template_20_99e9c5ab","3-PIN","H405","Tim Lines","0.7","0.14","15469.0","15232.0","Units",""
"__export__.product_template_107_5f2fde7a","3-ROTATE","H605","Tim Lines","0.6","0.12","12762.0","12762.0","Units",""
"__export__.product_template_301_979fd8c2","3.6"" FOUR-LINK ARM","F407","Tim Lines","1.0","0.0","4528.0","4528.0","Units",""
"__export__.product_template_231_5570893a","3/16"" BALL STUD","G406","Tim Lines","1.0","0.2","719.0","621.0","Units",""
"__export__.product_template_487_3125c792","3/16"" POLYCARBONATE SHEET","","MINDS-i","1.0","0.0","12.0","12.0","Units",""
"__export__.product_template_137_1498e929","3/16"" QUICK CONNECT FEMALE","F502","MINDS-i","0.04","0.04","1324.0","1324.0","Units",""
"__export__.product_template_82_1f05aed7","3/32 HEX KEY","G509","Chris Lines","1.0","0.16","958.0","869.0","Units","Alert"
"__export__.product_template_40_97bc38f5","3/32"" HEX DRIVER","B303","Tim Lines","1.0","0.0","452.0","393.0","Units",""
"__export__.product_template_52_3e56a41f","3/4 IN PVC COUPLING","L302","Tim Lines","2.0","0.4","638.0","144.0","Units",""
"__export__.product_template_450_fd08bde4","3/4 IN PVC COUPLING WITH CENTERHOLE","D502","Chris Lines","1.0","0.0","4.0","122.0","Units",""
"__export__.product_template_54_49e689f6","3/4 IN PVC CROSS","D501","Tim Lines","18.7","3.74","46.0","-142.0","Units",""
"__export__.product_template_55_553e4f98","3/4 IN PVC ELBOWS","D503","Tim Lines","2.75","0.55","258.0","-494.0","Units",""
"__export__.product_template_522_bece9729","3/4 IN PVC PIPE  10 FOOT","XX02","MINDS-i","1.0","0.0","0.0","-111.0","Units",""
"__export__.product_template_56_9b002deb","3/4 IN PVC PIPE 12""","D505","Tim Lines","1.0","0.0","308.0","-92.0","Units",""
"__export__.product_template_83_a823a2f9","3/8"" 32 OZ. ELASTIC BAND","","Chris Lines","1.0","0.0","2821.0","2623.0","Units",""
"__export__.product_template_232_3effbb31","3/8"" BALL STUD","G407","Tim Lines","1.0","0.0","7186.0","7186.0","Units",""
"__export__.product_template_168_1691f58c","3/8"" STANDOFF","G707","Tim Lines","1.0","0.0","152.0","112.0","Units",""
"__export__.product_template_472_33e3750f","3/8"" WASHER","G706","Chris Lines","1.0","0.0","310.0","230.0","Units",""
